申請ID,申請日,申請者社員ID,案件コード,変更種別,影響度,ステータス
B0059,2025-04-22,E103,P006,仕様変更,中,却下
B0060,2025-10-24,E103,P002,部品変更,高,却下
B0061,2025-01-06,E105,P004,部品変更,中,承認待ち
B0062,2025-12-04,E106,P001,コスト変更,高,承認待ち
B0063,2025-08-12,E105,P002,部品変更,高,承認待ち
B0064,2025-07-11,E105,P001,図面修正,中,却下
B0065,2025-11-27,E108,P003,仕様変更,高,承認済
B0066,2025-03-19,E105,P001,仕様変更,低,却下
B0067,2025-06-24,E105,P004,仕様変更,中,承認待ち
B0068,2025-05-02,E106,P001,部品変更,中,却下
B0069,2025-02-22,E105,P005,図面修正,低,申請中
B0070,2025-12-10,E108,P003,コスト変更,中,却下
B0071,2025-12-10,E108,P002,部品変更,中,却下
B0072,2025-11-24,E103,P005,図面修正,中,申請中
B0073,2025-05-10,E103,P004,図面修正,中,却下
B0074,2025-08-22,E103,P005,コスト変更,低,承認待ち
B0075,2025-11-03,E105,P005,図面修正,高,承認待ち
B0076,2025-11-10,E103,P002,部品変更,高,申請中
B0077,2025-04-16,E108,P001,コスト変更,中,承認待ち
B0078,2025-12-23,E106,P004,コスト変更,高,承認待ち
B0079,2025-11-23,E102,P001,コスト変更,高,承認待ち
B0080,2025-12-17,E106,P001,部品変更,高,却下
B0081,2025-03-26,E106,P006,図面修正,中,却下
B0082,2025-09-15,E103,P006,コスト変更,中,承認済
B0083,2025-04-27,E105,P005,コスト変更,低,承認待ち
B0084,2025-05-15,E102,P006,図面修正,高,承認済
B0085,2025-06-11,E108,P001,部品変更,高,承認待ち
B0086,2025-07-23,E103,P006,部品変更,高,却下
B0087,2025-07-11,E108,P004,コスト変更,高,承認待ち
B0088,2025-07-13,E108,P006,仕様変更,低,却下
B0089,2025-08-01,E105,P003,コスト変更,中,承認待ち
B0090,2025-08-08,E105,P004,コスト変更,高,却下
B0091,2025-06-22,E106,P006,部品変更,中,承認待ち
B0092,2025-10-18,E102,P004,仕様変更,高,却下
B0093,2025-03-28,E106,P002,仕様変更,中,却下
B0094,2025-06-07,E106,P003,図面修正,中,承認済
B0095,2025-07-09,E102,P004,仕様変更,低,申請中
B0096,2025-06-08,E102,P006,仕様変更,高,承認待ち
B0097,2025-04-27,E102,P005,部品変更,高,承認待ち
B0098,2025-08-22,E102,P005,部品変更,中,承認済
B0099,2025-06-06,E108,P005,仕様変更,高,承認済
B0100,2025-02-19,E102,P003,コスト変更,中,承認待ち
B0101,2025-02-19,E103,P001,図面修正,低,申請中
B0102,2025-10-26,E102,P003,コスト変更,低,承認済
B0103,2025-02-17,E105,P001,コスト変更,中,申請中
B0104,2025-07-12,E106,P006,部品変更,中,承認待ち
B0105,2025-12-17,E105,P005,コスト変更,中,却下
B0106,2025-12-19,E105,P003,部品変更,高,承認済
B0107,2025-08-08,E106,P005,コスト変更,中,申請中
B0108,2025-08-28,E105,P002,コスト変更,高,承認済
B0109,2025-05-11,E105,P005,図面修正,低,申請中
B0110,2025-09-07,E102,P002,コスト変更,中,承認待ち
B0111,2025-12-16,E106,P004,仕様変更,高,承認済
B0112,2025-04-13,E103,P003,図面修正,中,承認済
B0113,2025-07-24,E108,P003,図面修正,低,却下
B0114,2025-05-10,E105,P002,仕様変更,低,承認待ち
B0115,2025-06-04,E108,P006,部品変更,高,承認待ち
B0116,2025-12-16,E105,P006,図面修正,高,承認待ち
B0117,2025-05-08,E105,P002,図面修正,高,承認待ち
B0118,2025-05-02,E102,P005,図面修正,低,承認待ち
B0119,2025-11-28,E106,P001,仕様変更,低,承認済
B0120,2025-08-16,E106,P003,部品変更,高,承認済
B0121,2025-08-04,E102,P004,コスト変更,高,申請中
B0122,2025-03-05,E108,P003,仕様変更,高,申請中
B0123,2025-09-25,E106,P005,部品変更,低,却下
B0124,2025-08-15,E105,P005,コスト変更,中,申請中
B0125,2025-10-24,E102,P002,部品変更,中,申請中
B0126,2025-03-08,E103,P005,仕様変更,高,申請中
B0127,2025-07-15,E108,P004,図面修正,高,承認待ち
B0128,2025-05-23,E105,P006,コスト変更,高,承認待ち
B0129,2025-05-26,E108,P006,部品変更,中,申請中
B0130,2025-09-08,E103,P003,部品変更,高,申請中
B0131,2025-03-26,E105,P005,図面修正,中,申請中
B0132,2025-08-23,E105,P006,コスト変更,中,却下
B0133,2025-08-03,E108,P001,コスト変更,低,承認済
B0134,2025-10-09,E102,P001,部品変更,低,申請中
B0135,2025-11-27,E105,P005,仕様変更,高,却下
B0136,2025-09-21,E106,P003,部品変更,低,却下
B0137,2025-11-27,E106,P001,コスト変更,中,却下
B0138,2025-06-11,E102,P002,図面修正,中,却下
B0139,2025-05-22,E106,P005,仕様変更,中,申請中
B0140,2025-06-09,E105,P001,コスト変更,低,申請中
B0141,2025-11-28,E108,P004,コスト変更,高,承認待ち
B0142,2025-09-12,E108,P004,コスト変更,高,承認待ち
B0143,2025-05-18,E103,P003,コスト変更,低,却下
B0144,2025-02-01,E108,P002,部品変更,中,申請中
B0145,2025-09-14,E102,P002,仕様変更,中,申請中
B0146,2025-11-27,E103,P004,図面修正,低,承認済
B0147,2025-07-27,E106,P004,部品変更,中,承認待ち
B0148,2025-07-07,E108,P005,部品変更,高,承認済
B0149,2025-07-11,E108,P003,仕様変更,中,承認済
B0150,2025-10-19,E106,P002,コスト変更,低,却下
B0151,2025-06-11,E108,P005,コスト変更,中,承認済
B0152,2025-04-23,E103,P005,コスト変更,高,却下
B0153,2025-01-11,E106,P006,コスト変更,中,承認待ち
B0154,2025-08-02,E103,P005,図面修正,高,却下
B0155,2025-02-17,E106,P001,部品変更,中,承認待ち
B0156,2025-02-16,E105,P003,コスト変更,低,申請中
B0157,2025-06-28,E108,P004,図面修正,低,却下
B0158,2025-09-02,E108,P001,部品変更,低,承認済
B0159,2025-04-24,E102,P004,仕様変更,低,申請中
B0160,2025-08-06,E105,P001,仕様変更,中,申請中
B0161,2025-05-12,E105,P004,部品変更,高,却下
B0162,2025-10-22,E103,P002,部品変更,高,却下
B0163,2025-10-22,E103,P004,部品変更,高,却下
B0164,2025-11-09,E106,P003,仕様変更,中,承認済
B0165,2025-11-18,E103,P001,コスト変更,中,承認済
B0166,2025-11-14,E105,P004,図面修正,高,却下
B0167,2025-08-04,E103,P004,図面修正,低,承認済
B0168,2025-12-10,E102,P006,コスト変更,中,申請中
B0169,2025-10-28,E102,P005,コスト変更,中,承認待ち
B0170,2025-10-26,E105,P002,部品変更,低,承認済
B0171,2025-11-25,E103,P006,仕様変更,低,申請中
B0172,2025-05-26,E106,P001,図面修正,低,承認待ち
B0173,2025-02-10,E105,P006,コスト変更,高,承認待ち
B0174,2025-03-26,E108,P003,図面修正,高,承認済
B0175,2025-08-26,E105,P006,図面修正,高,却下
B0176,2025-02-05,E103,P006,コスト変更,低,承認済
B0177,2025-02-26,E106,P001,図面修正,低,申請中
B0178,2025-08-12,E105,P005,コスト変更,低,承認済
B0179,2025-02-22,E103,P004,仕様変更,低,承認済
B0180,2025-10-08,E102,P006,コスト変更,低,承認済
B0181,2025-11-14,E102,P002,仕様変更,高,承認済
B0182,2025-08-04,E102,P002,部品変更,中,却下
B0183,2025-06-22,E108,P004,部品変更,中,申請中
B0184,2025-08-20,E106,P003,仕様変更,低,承認済
B0185,2025-04-15,E106,P002,図面修正,高,承認済
B0186,2025-09-21,E105,P001,コスト変更,中,承認待ち
B0187,2025-02-28,E106,P001,部品変更,低,申請中
B0188,2025-01-26,E105,P002,部品変更,低,承認待ち
B0189,2025-02-27,E108,P002,部品変更,高,承認済
B0190,2025-03-26,E108,P001,図面修正,高,承認待ち
B0191,2025-09-09,E103,P001,仕様変更,高,申請中
B0192,2025-06-26,E103,P005,図面修正,高,承認待ち
B0193,2025-05-02,E103,P006,コスト変更,低,申請中
B0194,2025-12-03,E106,P004,図面修正,低,申請中
B0195,2025-08-17,E103,P005,仕様変更,低,承認済
B0196,2025-08-21,E102,P001,コスト変更,中,却下
B0197,2025-11-04,E106,P006,コスト変更,高,申請中
B0198,2025-06-20,E103,P001,部品変更,中,承認済
B0199,2025-07-20,E108,P003,コスト変更,低,却下
B0200,2025-02-26,E102,P006,部品変更,中,却下
B0201,2025-04-14,E105,P004,コスト変更,中,申請中
B0202,2025-06-14,E105,P006,図面修正,中,承認待ち
B0203,2025-11-16,E102,P001,仕様変更,高,却下
B0204,2025-02-24,E105,P002,仕様変更,低,承認済
B0205,2025-11-04,E106,P003,コスト変更,低,申請中
B0206,2025-05-20,E105,P003,仕様変更,低,承認待ち
B0207,2025-03-22,E106,P002,仕様変更,中,承認済
B0208,2025-02-25,E105,P005,部品変更,中,申請中
B0209,2025-10-22,E105,P001,部品変更,中,承認済
B0210,2025-06-12,E102,P002,部品変更,低,却下
B0211,2025-02-05,E102,P001,部品変更,中,却下
B0212,2025-08-11,E103,P003,図面修正,低,承認済
B0213,2025-10-20,E102,P001,部品変更,高,申請中
B0214,2025-11-03,E105,P004,コスト変更,中,却下
B0215,2025-07-09,E103,P005,仕様変更,中,却下
B0216,2025-02-10,E108,P004,図面修正,高,承認待ち
B0217,2025-07-20,E102,P001,部品変更,中,承認待ち
B0218,2025-03-25,E105,P003,図面修正,高,申請中
B0219,2025-08-24,E106,P002,部品変更,中,承認待ち
B0220,2025-09-18,E105,P001,コスト変更,低,申請中
B0221,2025-07-01,E106,P001,図面修正,低,却下
B0222,2025-10-13,E106,P003,仕様変更,中,申請中
B0223,2025-06-06,E108,P004,図面修正,高,却下
B0224,2025-02-08,E106,P005,コスト変更,低,申請中
B0225,2025-07-28,E105,P006,図面修正,高,承認済
B0226,2025-03-03,E108,P006,仕様変更,低,承認待ち
B0227,2025-06-12,E103,P002,仕様変更,高,承認済
B0228,2025-04-06,E108,P002,仕様変更,高,却下
B0229,2025-08-25,E108,P005,コスト変更,低,承認済
B0230,2025-11-11,E103,P004,仕様変更,中,却下
B0231,2025-11-10,E105,P005,仕様変更,中,申請中
B0232,2025-05-15,E106,P001,仕様変更,中,承認済
B0233,2025-02-21,E102,P005,コスト変更,中,申請中
B0234,2025-08-26,E108,P006,部品変更,中,却下
B0235,2025-09-05,E102,P004,仕様変更,中,申請中
B0236,2025-09-21,E103,P001,部品変更,低,却下
B0237,2025-08-17,E108,P005,部品変更,中,承認済
B0238,2025-05-13,E106,P003,仕様変更,低,承認済
B0239,2025-02-11,E102,P005,コスト変更,中,承認済
B0240,2025-12-28,E108,P002,図面修正,高,承認待ち
B0241,2025-06-10,E106,P002,仕様変更,中,却下
B0242,2025-11-26,E105,P002,仕様変更,低,却下
B0243,2025-09-12,E102,P003,図面修正,高,承認待ち
B0244,2025-06-25,E106,P002,部品変更,高,承認待ち
B0245,2025-02-10,E102,P005,仕様変更,低,承認済
B0246,2025-10-05,E108,P004,部品変更,高,承認待ち
B0247,2025-12-25,E108,P002,コスト変更,高,却下
B0248,2025-06-22,E103,P004,図面修正,低,却下
B0249,2025-04-18,E103,P003,コスト変更,高,承認済
B0250,2025-11-19,E106,P004,図面修正,中,却下
B0251,2025-03-27,E103,P005,部品変更,中,申請中
B0252,2025-11-16,E105,P005,仕様変更,低,申請中
B0253,2025-05-03,E103,P003,コスト変更,低,承認待ち
B0254,2025-07-03,E103,P004,図面修正,高,却下
B0255,2025-01-13,E108,P003,部品変更,中,申請中
B0256,2025-06-08,E102,P003,仕様変更,低,承認済
B0257,2025-03-05,E102,P003,コスト変更,低,承認待ち
B0258,2025-12-16,E106,P005,仕様変更,高,申請中
B0259,2025-05-07,E103,P005,コスト変更,高,承認済
B0260,2025-04-10,E102,P001,部品変更,中,却下
B0261,2025-02-04,E106,P005,仕様変更,低,承認待ち
B0262,2025-12-05,E105,P004,仕様変更,低,承認済
B0263,2025-04-19,E106,P002,仕様変更,低,承認済
B0264,2025-02-17,E108,P005,仕様変更,中,却下
B0265,2025-01-21,E106,P003,図面修正,低,申請中
B0266,2025-06-26,E102,P003,部品変更,低,申請中
B0267,2025-10-24,E105,P002,仕様変更,中,承認済
B0268,2025-11-06,E106,P006,コスト変更,低,承認待ち
B0269,2025-03-03,E106,P001,図面修正,高,申請中
B0270,2025-04-02,E105,P003,コスト変更,低,却下
B0271,2025-05-02,E103,P003,図面修正,高,承認済
B0272,2025-05-04,E105,P004,コスト変更,低,却下
B0273,2025-07-11,E103,P004,コスト変更,中,承認済
B0274,2025-02-24,E106,P001,コスト変更,低,承認待ち
B0275,2025-09-10,E105,P001,仕様変更,中,承認済
B0276,2025-05-15,E108,P006,コスト変更,高,却下
B0277,2025-06-15,E102,P006,図面修正,低,却下
B0278,2025-05-21,E102,P001,コスト変更,中,承認待ち
B0279,2025-01-05,E108,P006,コスト変更,高,承認待ち
B0280,2025-02-08,E105,P003,コスト変更,低,申請中
B0281,2025-10-05,E106,P003,図面修正,中,申請中
B0282,2025-10-05,E108,P003,コスト変更,中,承認済
B0283,2025-04-04,E102,P006,部品変更,中,却下
B0284,2025-09-04,E105,P003,コスト変更,高,承認済
B0285,2025-12-16,E103,P001,部品変更,高,却下
B0286,2025-03-23,E106,P001,図面修正,低,承認済
B0287,2025-12-03,E108,P005,図面修正,中,承認待ち
B0288,2025-12-23,E103,P003,部品変更,高,承認待ち
B0289,2025-03-08,E106,P001,図面修正,低,承認済
B0290,2025-08-26,E108,P002,仕様変更,高,承認済
B0291,2025-07-23,E106,P005,コスト変更,中,申請中
B0292,2025-03-11,E102,P004,コスト変更,低,承認済
B0293,2025-03-27,E108,P006,部品変更,高,却下
B0294,2025-09-28,E102,P001,部品変更,中,承認待ち
B0295,2025-03-11,E103,P003,図面修正,高,承認済
B0296,2025-04-21,E108,P003,部品変更,低,承認済
B0297,2025-10-18,E102,P005,部品変更,低,承認待ち
B0298,2025-03-22,E108,P006,図面修正,低,申請中
B0299,2025-01-03,E102,P006,図面修正,低,承認待ち
B0300,2025-10-14,E108,P006,仕様変更,中,承認済
B0301,2025-11-10,E106,P002,コスト変更,中,却下
B0302,2025-02-23,E102,P002,コスト変更,中,却下
B0303,2025-08-07,E105,P005,部品変更,中,承認済
B0304,2025-12-28,E105,P004,部品変更,中,申請中
B0305,2025-06-08,E106,P001,図面修正,中,承認待ち
B0306,2025-03-04,E102,P003,コスト変更,低,却下
B0307,2025-04-28,E103,P003,図面修正,高,承認待ち
B0308,2025-08-17,E106,P004,図面修正,中,申請中
B0309,2025-02-13,E108,P004,部品変更,高,承認済
B0310,2025-01-02,E105,P004,コスト変更,中,申請中
B0311,2025-02-14,E103,P003,図面修正,中,承認済
B0312,2025-01-13,E102,P005,部品変更,中,承認済
B0313,2025-02-13,E108,P004,図面修正,低,申請中
B0314,2025-03-04,E106,P003,図面修正,低,承認済
B0315,2025-03-07,E108,P005,コスト変更,低,申請中
B0316,2025-01-02,E103,P006,図面修正,中,却下
B0317,2025-03-20,E108,P002,図面修正,低,承認済
B0318,2025-03-13,E108,P006,図面修正,低,承認済
B0319,2025-09-27,E108,P005,コスト変更,低,承認済
B0320,2025-08-27,E102,P003,図面修正,低,申請中
B0321,2025-07-19,E105,P006,仕様変更,低,却下
B0322,2025-05-21,E108,P005,部品変更,低,申請中
B0323,2025-10-16,E103,P005,コスト変更,高,承認待ち
B0324,2025-01-19,E102,P002,仕様変更,中,承認済
B0325,2025-07-05,E106,P006,部品変更,中,却下
B0326,2025-12-24,E102,P006,部品変更,低,承認待ち
B0327,2025-09-11,E106,P005,コスト変更,中,承認待ち
B0328,2025-08-18,E105,P005,図面修正,低,承認済
B0329,2025-10-16,E103,P002,図面修正,低,承認済
B0330,2025-04-10,E105,P006,部品変更,低,却下
B0331,2025-06-16,E105,P005,図面修正,中,申請中
B0332,2025-10-22,E108,P004,コスト変更,中,承認待ち
B0333,2025-05-02,E105,P006,仕様変更,中,却下
B0334,2025-11-09,E106,P002,部品変更,低,承認済
B0335,2025-09-23,E105,P002,仕様変更,低,承認待ち
B0336,2025-04-02,E108,P002,部品変更,高,申請中
B0337,2025-07-11,E106,P001,部品変更,高,承認待ち
B0338,2025-07-21,E106,P004,部品変更,中,承認済
B0339,2025-05-21,E102,P001,部品変更,低,申請中
B0340,2025-03-14,E103,P001,コスト変更,中,承認待ち
B0341,2025-12-28,E105,P001,仕様変更,中,申請中
B0342,2025-06-10,E106,P006,コスト変更,高,却下
B0343,2025-05-07,E102,P003,部品変更,低,却下
B0344,2025-11-09,E103,P001,図面修正,中,承認待ち
B0345,2025-03-20,E106,P004,図面修正,高,却下
B0346,2025-11-04,E103,P002,コスト変更,中,承認待ち
B0347,2025-01-09,E106,P002,コスト変更,中,承認済
B0348,2025-05-19,E108,P001,図面修正,低,承認済
B0349,2025-12-08,E102,P006,仕様変更,中,承認済
B0350,2025-03-13,E108,P006,図面修正,低,申請中
B0351,2025-11-10,E105,P005,部品変更,高,承認待ち
B0352,2025-08-05,E106,P006,図面修正,中,却下
B0353,2025-09-26,E103,P002,仕様変更,低,却下
B0354,2025-09-23,E105,P001,仕様変更,高,承認待ち
B0355,2025-10-18,E103,P002,図面修正,低,却下
B0356,2025-02-22,E103,P006,コスト変更,高,却下
B0357,2025-01-15,E103,P005,コスト変更,中,申請中
B0358,2025-09-15,E105,P006,仕様変更,中,承認済
B0359,2025-01-24,E103,P005,仕様変更,高,却下
B0360,2025-06-23,E102,P005,仕様変更,高,却下
B0361,2025-01-10,E106,P002,部品変更,低,却下
B0362,2025-06-13,E106,P004,コスト変更,高,承認待ち
B0363,2025-11-28,E105,P001,部品変更,低,却下
B0364,2025-09-05,E103,P001,仕様変更,中,却下
B0365,2025-11-24,E108,P004,コスト変更,高,承認待ち
B0366,2025-08-12,E103,P003,部品変更,低,申請中
B0367,2025-01-26,E106,P005,仕様変更,高,承認待ち
B0368,2025-02-04,E108,P001,コスト変更,低,申請中
B0369,2025-04-24,E102,P004,コスト変更,高,承認待ち
B0370,2025-01-05,E108,P003,部品変更,低,承認済
B0371,2025-10-20,E105,P002,図面修正,高,承認待ち
B0372,2025-07-10,E105,P001,部品変更,低,却下
B0373,2025-09-16,E102,P003,コスト変更,低,承認済
B0374,2025-12-14,E106,P002,図面修正,中,承認待ち
B0375,2025-09-16,E103,P002,図面修正,低,承認待ち
B0376,2025-08-02,E108,P004,コスト変更,低,承認待ち
B0377,2025-07-08,E105,P002,図面修正,低,申請中
B0378,2025-08-28,E105,P001,部品変更,高,承認済
B0379,2025-07-22,E108,P005,仕様変更,高,承認待ち
B0380,2025-10-24,E108,P002,コスト変更,高,承認済
B0381,2025-05-01,E103,P002,仕様変更,低,却下
B0382,2025-04-23,E108,P006,部品変更,中,承認待ち
B0383,2025-09-11,E105,P004,コスト変更,低,承認済
B0384,2025-05-09,E105,P005,コスト変更,中,申請中
B0385,2025-12-16,E105,P002,図面修正,中,却下
B0386,2025-01-19,E103,P006,部品変更,高,承認済
B0387,2025-09-19,E108,P006,コスト変更,中,承認待ち
B0388,2025-04-11,E103,P004,部品変更,中,承認済
B0389,2025-05-25,E106,P006,コスト変更,中,承認待ち
B0390,2025-12-26,E105,P002,部品変更,低,却下
B0391,2025-03-18,E102,P005,仕様変更,高,申請中
B0392,2025-01-14,E103,P006,部品変更,高,承認待ち
B0393,2025-01-07,E108,P004,図面修正,高,却下
B0394,2025-11-16,E102,P001,コスト変更,高,申請中
B0395,2025-09-24,E105,P005,図面修正,高,却下
B0396,2025-03-04,E102,P005,部品変更,高,承認待ち
B0397,2025-10-17,E105,P003,図面修正,中,申請中
B0398,2025-06-13,E106,P005,部品変更,低,承認待ち
B0399,2025-05-22,E102,P006,仕様変更,高,却下
B0400,2025-07-13,E108,P004,仕様変更,低,申請中
B0401,2025-12-06,E102,P004,コスト変更,低,承認済
B0402,2025-10-28,E102,P005,仕様変更,高,承認待ち
B0403,2025-12-19,E106,P003,仕様変更,高,承認済
B0404,2025-09-19,E102,P002,図面修正,高,承認待ち
B0405,2025-10-05,E106,P001,図面修正,高,承認待ち
B0406,2025-10-27,E106,P006,図面修正,中,承認待ち
B0407,2025-12-24,E102,P005,図面修正,高,申請中
B0408,2025-07-08,E102,P003,コスト変更,中,申請中
B0409,2025-11-09,E106,P004,部品変更,中,却下
B0410,2025-07-06,E108,P006,コスト変更,高,承認済
B0411,2025-04-23,E102,P001,図面修正,高,却下
B0412,2025-12-26,E103,P006,コスト変更,中,承認済
B0413,2025-02-03,E102,P003,コスト変更,中,承認済
B0414,2025-02-05,E102,P002,コスト変更,中,却下
B0415,2025-02-01,E102,P003,仕様変更,低,承認済
B0416,2025-07-01,E105,P004,コスト変更,高,承認待ち
B0417,2025-10-17,E103,P006,コスト変更,高,承認待ち
B0418,2025-05-10,E105,P004,部品変更,高,承認待ち
B0419,2025-07-09,E106,P003,コスト変更,高,承認済
B0420,2025-05-08,E106,P005,部品変更,中,申請中
B0421,2025-03-10,E102,P004,図面修正,低,却下
B0422,2025-06-15,E105,P004,部品変更,中,承認済
B0423,2025-10-23,E103,P004,図面修正,高,却下
B0424,2025-06-10,E106,P005,部品変更,中,却下
B0425,2025-05-27,E106,P003,仕様変更,低,承認待ち
B0426,2025-10-18,E103,P006,仕様変更,低,却下
B0427,2025-12-07,E106,P003,仕様変更,中,却下
B0428,2025-03-21,E105,P002,図面修正,低,承認待ち
B0429,2025-12-14,E106,P001,コスト変更,低,却下
B0430,2025-10-13,E108,P005,コスト変更,低,申請中
B0431,2025-06-23,E108,P005,仕様変更,高,承認待ち
B0432,2025-11-22,E105,P002,仕様変更,低,却下
B0433,2025-06-26,E106,P001,仕様変更,高,承認済
B0434,2025-04-17,E108,P005,部品変更,中,承認済
B0435,2025-07-15,E108,P006,部品変更,中,申請中
B0436,2025-08-04,E105,P004,仕様変更,高,承認待ち
B0437,2025-06-10,E105,P004,部品変更,低,却下
B0438,2025-06-16,E102,P004,コスト変更,中,申請中
B0439,2025-05-02,E102,P001,図面修正,低,申請中
B0440,2025-11-26,E103,P006,部品変更,低,承認待ち
B0441,2025-09-06,E105,P005,コスト変更,中,承認待ち
B0442,2025-07-21,E103,P002,コスト変更,中,申請中
B0443,2025-12-20,E103,P004,コスト変更,中,申請中
B0444,2025-12-07,E103,P003,仕様変更,低,申請中
B0445,2025-09-06,E105,P003,部品変更,中,申請中
B0446,2025-05-22,E106,P005,図面修正,低,却下
B0447,2025-10-13,E108,P001,図面修正,中,却下
B0448,2025-10-06,E105,P005,仕様変更,低,承認待ち
B0449,2025-06-04,E103,P003,仕様変更,高,承認済
B0450,2025-12-05,E108,P004,コスト変更,低,承認待ち
B0451,2025-10-13,E106,P002,コスト変更,低,承認待ち
B0452,2025-09-06,E106,P003,部品変更,高,承認済
B0453,2025-08-20,E102,P003,仕様変更,中,承認待ち
B0454,2025-04-27,E106,P005,コスト変更,中,却下
B0455,2025-07-23,E106,P004,部品変更,高,申請中
B0456,2025-04-10,E102,P003,部品変更,低,承認済
B0457,2025-03-25,E106,P005,コスト変更,低,申請中
B0458,2025-10-04,E105,P005,図面修正,低,申請中
B0459,2025-12-15,E108,P002,コスト変更,高,承認待ち
B0460,2025-05-28,E102,P004,図面修正,中,申請中
B0461,2025-08-28,E102,P002,部品変更,低,承認済
B0462,2025-12-20,E106,P002,部品変更,高,承認待ち
B0463,2025-01-19,E105,P005,図面修正,低,承認待ち
B0464,2025-06-23,E105,P003,図面修正,低,申請中
B0465,2025-03-25,E106,P001,図面修正,低,承認待ち
B0466,2025-12-28,E103,P002,部品変更,低,承認済
B0467,2025-04-25,E106,P004,部品変更,低,承認済
B0468,2025-11-14,E106,P004,仕様変更,低,申請中
B0469,2025-07-17,E105,P006,図面修正,中,却下
B0470,2025-06-19,E102,P006,仕様変更,低,却下
B0471,2025-11-22,E105,P001,コスト変更,高,却下
B0472,2025-04-16,E105,P003,図面修正,中,承認待ち
B0473,2025-10-28,E106,P003,仕様変更,高,申請中
B0474,2025-11-26,E106,P001,仕様変更,高,却下
B0475,2025-08-01,E106,P002,部品変更,低,承認済
B0476,2025-03-28,E105,P001,図面修正,中,申請中
B0477,2025-06-22,E103,P001,コスト変更,低,承認済
B0478,2025-12-23,E103,P004,仕様変更,低,申請中
B0479,2025-01-07,E106,P001,部品変更,低,承認待ち
B0480,2025-09-22,E106,P001,仕様変更,低,承認済
B0481,2025-02-28,E106,P006,部品変更,中,申請中
B0482,2025-04-13,E102,P006,仕様変更,高,承認済
B0483,2025-06-10,E103,P004,部品変更,低,承認待ち
B0484,2025-02-17,E108,P001,部品変更,中,承認済
